ChEMBL ID	Name	Synonyms	Type	Max Phase	Molecular Weight	Targets	Bioactivities	AlogP	Polar Surface Area	HBA	HBD	#RO5 Violations	#Rotatable Bonds	Passes Ro3	QED Weighted	CX Acidic pKa	CX Basic pKa	CX LogP	CX LogD	Aromatic Rings	Structure Type	Inorganic Flag	Heavy Atoms	HBA (Lipinski)	HBD (Lipinski)	#RO5 Violations (Lipinski)	Molecular Weight (Monoisotopic)	Molecular Species	Molecular Formula	Smiles
CHEMBL109095	TRICLOFENOL	2																												
CHEMBL67238		4-(4-Methoxybenzylideneamino)Phenol	Small molecule	0	227.26	2	2	3.15	41.82	3	1	0	3	N	0.82	8.29	3.16	3.39	3.33	2	MOL	-1	17	3	1	0	227.0946	NEUTRAL	C14H13NO2	COc1ccc(/C=N/c2ccc(O)cc2)cc1
CHEMBL56475		4-Iodo-Phenol|4-Iodophenol	Small molecule	0	220.01	6	12	2	20.23	1	1	0	0	Y	0.66	9.1	None	2.6	2.59	1	MOL	-1	8	1	1	0	219.9385	NEUTRAL	C6H5IO	Oc1ccc(I)cc1
CHEMBL2064669		2-(2-Hydroxybenzylideneamino)Phenol	Small molecule	0	213.24	9	28	2.85	52.82	3	2	0	2	Y	0.75	8.17	0.71	3.24	3.17	2	MOL	-1	16	3	2	0	213.079	NEUTRAL	C13H11NO2	Oc1ccccc1/C=N/c1ccccc1O
CHEMBL206260		4-(Guanidinoethyl)-Phenol Trifluoroacetatesalt|Para-Guanidinoethylphenol	Small molecule	0	293.25	6	42	0.42	82.13	2	4	0	3	N	0.4	10.13	12.5	0.32	-1.58	1	MOL	-1	13	4	5	0	179.1059	BASE	C11H14F3N3O3	N=C(N)NCCc1ccc(O)cc1.O=C(O)C(F)(F)F
CHEMBL470887		5-{8(Z)																												
CHEMBL352205	3-HYDROXYBENZYLHYDRAZINE DIHYDROCHLORIDE	3-Hydrazinomethyl-Phenol	Small molecule	0	138.17	13	23	0.36	58.28	3	3	0	2	Y	0.41	9.41	5.17	0.61	0.6	1	MOL	-1	10	3	4	0	138.0793	NEUTRAL	C7H10N2O	NNCc1cccc(O)c1
CHEMBL2064675		3-(4-Hydroxybenzylideneamino)Phenol	Small molecule	0	213.24	2	3	2.85	52.82	3	2	0	2	Y	0.75	8.29	2.29	3.24	3.19	2	MOL	-1	16	3	2	0	213.079	NEUTRAL	C13H11NO2	Oc1ccc(/C=N/c2cccc(O)c2)cc1
CHEMBL16656		2																												
CHEMBL503990		4-(7-Methyloctyl)Phenol	Small molecule	0	220.36	10	14	4.54	20.23	1	1	0	7	N	0.67	10.31	None	5.58	5.58	1	MOL	-1	16	1	1	0	220.1827	NEUTRAL	C15H24O	CC(C)CCCCCCc1ccc(O)cc1
CHEMBL195437	4-OCTYLPHENOL	4-Octyl-Phenol|4-Octylphenol	Small molecule	0	206.33	126	1667	4.3	20.23	1	1	0	7	N	0.66	10.31	None	5.3	5.29	1	MOL	-1	15	1	1	0	206.1671	NEUTRAL	C14H22O	CCCCCCCCc1ccc(O)cc1
CHEMBL1200705	HYDROXYAMPHETAMINE HYDROBROMIDE	HYDROXYAMFETAMINE HBR|HYDROXYAMFETAMINE HYDROBROMIDE|HYDROXYAMPHETAMINE HBR|HYDROXYAMPHETAMINE HYDROBROMIDE|HYROXYAMFETAMINE HYDROBROMIDE|NSC-61065|OXAMPHETAMINE HYDROBROMIDE|PHENOL																												
CHEMBL29878		2																												
